"last_name, first_name","player_id","year","hit","strikeout","walk","batting_avg","slg_percent","babip","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_hit_ground","xba",""
"Steer, Spencer","668715","2022","20","26","11",".211",".326",".269","0","2","2","7",".209",
"Baddoo, Akil","668731","2022","41","64","24",".204",".269",".289","9","2","0","21",".192",
"Mitchell, Cal","668751","2022","48","52","18",".226",".349",".276","3","3","0","14",".238",
"Knizner, Andrew","668800","2022","56","62","26",".215",".300",".268","0","9","6","21",".219",
"Reynolds, Bryan","668804","2022","142","141","56",".262",".461",".306","7","13","14","38",".249",
"Rutschman, Adley","668939","2022","101","86","65",".254",".445",".291","4","4","4","27",".248",
"Rojas, Josh","668942","2022","119","98","55",".269",".391",".323","23","7","2","41",".239",
"Melendez Jr., MJ","669004","2022","100","131","66",".217",".393",".258","2","2","1","27",".237",
"Marsh, Brandon","669016","2022","104","158","28",".245",".384",".360","10","4","3","33",".226",
"Huff, Sam","669087","2022","29","42","11",".240",".372",".333","1","1","0","9",".226",
"Langeliers, Shea","669127","2022","31","53","9",".218",".430",".294","0","4","0","6",".200",
"Murphy, Sean","669221","2022","134","124","56",".250",".426",".290","1","14","13","34",".255",
"Senzel, Nick","669222","2022","86","76","30",".231",".306",".276","8","7","5","35",".249",
